mapping,type,name,sourceFeature,targetFeatures,automation,manualSteps,automatedSteps,riskScore,riskReasons
"Build Runtime and Gradual Migration","Transformation","JUnit 4 Runtime to JUnit Vintage Engine","Coexisting JUnit 4 tests during migration","junit-vintage-engine","OperatorHelp","2","3","1","OperatorHelp (+1)"
"Build Runtime and Gradual Migration","Transformation","JUnit 4 Build Dependencies to Jupiter Dependencies","junit:junit dependency","JUnit BOM; junit-jupiter-api; junit-jupiter-engine; junit-platform-launcher","OperatorHelp","2","4","1","OperatorHelp (+1)"
"Build Runtime and Gradual Migration","Bridge","JUnit Vintage Engine Coexistence Bridge","Coexisting JUnit 4 tests during migration; junit-vintage-engine; junit-platform-launcher","","","0","0","1","Cleanup-required bridge (+1)"
"Build Runtime and Gradual Migration","Preservation","Preserve Unchanged JUnit 4 Tests During Incremental Migration","Coexisting JUnit 4 tests during migration","","","0","0","0",""
"Build Runtime and Gradual Migration","SemanticEffect","Vintage Engine Temporary and Deprecated Support","Coexisting JUnit 4 tests during migration","junit-vintage-engine","","0","0","1","Support deprecated (+1)"
"Build Runtime and Gradual Migration","Transformation","JUnit 4 Build Execution to JUnit Platform Execution","Maven Surefire / Failsafe JUnit 4 provider","Maven Surefire / Failsafe JUnit Platform provider; Gradle useJUnitPlatform()","OperatorHelp","1","2","1","OperatorHelp (+1)"
"Core Test Annotation and Lifecycle Migration","Transformation","@Test Annotation to Jupiter @Test","@Test annotation","org.junit.jupiter.api.Test","OperatorHelp","1","4","1","OperatorHelp (+1)"
"Core Test Annotation and Lifecycle Migration","Transformation","Public Test Members to Package-Private Jupiter Members","public test method","package-private test method","FullAutomation","1","2","0",""
"Core Test Annotation and Lifecycle Migration","Transformation","@Before and @After to @BeforeEach and @AfterEach","@Before","@BeforeEach","FullAutomation","0","4","0",""
"Core Test Annotation and Lifecycle Migration","Transformation","@After to @AfterEach","@After","@AfterEach","FullAutomation","0","2","0",""
"Core Test Annotation and Lifecycle Migration","Transformation","@BeforeClass and @AfterClass to @BeforeAll and @AfterAll","@BeforeClass","@BeforeAll","OperatorHelp","2","2","1","OperatorHelp (+1)"
"Core Test Annotation and Lifecycle Migration","Transformation","@AfterClass to @AfterAll","@AfterClass","@AfterAll","FullAutomation","0","2","0",""
"Core Test Annotation and Lifecycle Migration","Transformation","@Ignore to @Disabled or Migration-Support IgnoreCondition","@Ignore","@Disabled; IgnoreCondition; @EnableJUnit4MigrationSupport","OperatorHelp","3","1","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Core Test Annotation and Lifecycle Migration","Preservation","Preserve Test Method Bodies When Migrating Simple Tests","test method body","","","0","0","0",""
"Core Test Annotation and Lifecycle Migration","Preservation","Optional Preservation of Public Visibility","public test class; public test method","","","0","0","0",""
"Core Test Annotation and Lifecycle Migration","SemanticEffect","Test Member Visibility Requirement Relaxed","public test class; public test method","package-private test class; package-private test method","","0","0","1","Default value changed (+1)"
"Assertions and Assumptions Migration","Transformation","JUnit 4 Assert Imports to Jupiter Assertions","org.junit.Assert imports","org.junit.jupiter.api.Assertions","OperatorHelp","2","2","1","OperatorHelp (+1)"
"Assertions and Assumptions Migration","Transformation","Message-first Assertion Arguments to Message-last Assertion Arguments","message-first assertion arguments","message-last assertion arguments; lazy failure message Supplier","OperatorHelp","1","3","1","OperatorHelp (+1)"
"Assertions and Assumptions Migration","Transformation","Assume.assumeTrue / assumeFalse to Jupiter assumeTrue / assumeFalse","Assume.assumeTrue","assumeTrue","FullAutomation","1","3","0",""
"Assertions and Assumptions Migration","Transformation","Assume.assumeFalse to Jupiter assumeFalse","Assume.assumeFalse","assumeFalse","FullAutomation","0","2","0",""
"Assertions and Assumptions Migration","Transformation","Assume.assumeNoException Approximation","Assume.assumeNoException","assumeTrue; assumeFalse","NoDirectMapping","2","3","3","NoDirectMapping (+3)"
"Assertions and Assumptions Migration","Transformation","Assume.assumeNotNull Approximation","Assume.assumeNotNull","assumeTrue; assumeFalse","NoDirectMapping","1","4","3","NoDirectMapping (+3)"
"Assertions and Assumptions Migration","Transformation","Assume.assumeThat and Hamcrest Assumptions","Assume.assumeThat","assumeTrue; assumingThat","NoDirectMapping","3","1","4","NoDirectMapping (+3); Manual-heavy strategy (+1)"
"Assertions and Assumptions Migration","Preservation","Preserve Third-Party Assertion Libraries","assertThat with Hamcrest; third-party assertion library usage","","","0","0","0",""
"Assertions and Assumptions Migration","SemanticEffect","Failure Message Argument Order Changed","message-first assertion arguments; Assume.assumeTrue; Assume.assumeFalse","message-last assertion arguments; lazy failure message Supplier","","0","0","1","Configuration semantics changed (+1)"
